date,type,name,duration_mins,distance_km,elevation_m,avg_power,np,avg_hr,max_hr,tss,intensity_factor,fitness_ctl,fatigue_atl
2026-03-01,Run,Lunch Laufen,36.0,5.0,58.0,,,137.0,149.0,27.0,65.73,,
2026-03-01,Run,Lunch Laufen,20.0,2.9,14.0,,,138.0,161.0,15.0,67.08,,
2026-02-28,WeightTraining,Morning Krafttraining,65.0,,0.0,,,119.0,157.0,32.0,54.31,,
2026-02-26,MountainBikeRide,Sankt Gallen Mountainbiken,54.0,9.2,318.0,,,121.0,154.0,29.0,51.24,,
2026-02-24,Run,Morning Laufen,57.0,9.1,114.0,,,146.0,162.0,57.0,75.54,,
2026-02-22,WeightTraining,Lunch Krafttraining,77.0,,0.0,,,126.0,162.0,47.0,60.6,,
2026-02-20,WeightTraining,Lunch Krafttraining,57.0,,0.0,,,118.0,149.0,27.0,53.26,,
2026-02-15,WeightTraining,Morning Krafttraining,69.0,,0.0,,,112.0,150.0,28.0,49.18,,
2026-02-14,Run,Morning Laufen,59.0,10.0,0.0,,,151.0,169.0,62.0,79.13,,
2026-02-12,WeightTraining,Afternoon Krafttraining,68.0,,0.0,,,124.0,162.0,39.0,58.87,,
2026-02-10,VirtualRide,Evening Virtuelle Radfahrt,43.0,,0.0,,,158.0,178.0,54.0,87.21,,
2026-02-07,Run,Afternoon Laufen,44.0,7.0,49.0,,,148.0,162.0,43.0,75.73,,
2026-02-07,Run,Morning Laufen,35.0,5.0,63.0,,,139.0,157.0,30.0,68.63,,
2026-02-05,WeightTraining,Afternoon Krafttraining,61.0,,0.0,,,112.0,160.0,24.0,48.64,,
2026-02-03,WeightTraining,Afternoon Krafttraining,63.0,,0.0,,,113.0,151.0,25.0,48.87,,
2026-02-01,Run,Lunch Laufen,58.0,9.0,198.0,,,148.0,168.0,62.0,78.04,,
2026-01-31,WeightTraining,Afternoon Krafttraining,62.0,,0.0,,,119.0,164.0,33.0,54.78,,
2026-01-29,WeightTraining,Lunch Krafttraining,55.0,,0.0,,,117.0,163.0,25.0,52.07,,
2026-01-27,VirtualRide,Evening Virtuelle Radfahrt,46.0,,0.0,,,154.0,175.0,53.0,83.39,,
2026-01-26,,,,,,,,,,,,,
2026-01-17,Workout,Hyrox,97.0,,0.0,,,168.0,182.0,149.0,95.32,,
2026-01-16,,,,,,,,,,,,,
2026-01-14,,,,,,,,,,,,,
2026-01-13,Workout,Afternoon Training,52.0,,0.0,,,121.0,179.0,29.0,57.99,,
2026-01-11,,,,,,,,,,,,,
2026-01-10,Padel,Pickleball 1:1,63.0,,0.0,,,119.0,138.0,29.0,52.64,,
2026-01-10,Rowing,Afternoon Rudern,37.0,,,,,122.0,157.0,23.0,58.82,,
2026-01-09,,,,,,,,,,,,,
2026-01-08,VirtualRun,Afternoon Virtueller Lauf,49.0,7.6,0.0,,,152.0,169.0,52.0,77.22,,
2026-01-06,Workout,Afternoon Training,75.0,,0.0,,,140.0,169.0,63.0,70.84,,
2026-01-05,,,,,,,,,,,,,
2026-01-03,,,,,,,,,,,,,
2026-01-02,,,,,,,,,,,,,
2026-01-01,,,,,,,,,,,,,
2026-01-01,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,
2025-12-30,,,,,,,,,,,,,
2025-12-28,,,,,,,,,,,,,
2025-12-26,,,,,,,,,,,,,
2025-12-25,,,,,,,,,,,,,
2025-12-24,,,,,,,,,,,,,
2025-12-24,,,,,,,,,,,,,
2025-12-23,,,,,,,,,,,,,
2025-12-23,,,,,,,,,,,,,
2025-12-21,,,,,,,,,,,,,
2025-12-20,,,,,,,,,,,,,
2025-12-19,,,,,,,,,,,,,
2025-12-17,,,,,,,,,,,,,
2025-12-16,,,,,,,,,,,,,
2025-12-14,,,,,,,,,,,,,
2025-12-13,,,,,,,,,,,,,
2025-12-12,,,,,,,,,,,,,
2025-12-10,,,,,,,,,,,,,
2025-12-09,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,
2025-11-29,,,,,,,,,,,,,
2025-11-27,,,,,,,,,,,,,
2025-11-26,,,,,,,,,,,,,
2025-11-26,,,,,,,,,,,,,
2025-11-25,,,,,,,,,,,,,
2025-11-23,,,,,,,,,,,,,
2025-11-22,,,,,,,,,,,,,
2025-11-21,,,,,,,,,,,,,
2025-11-20,,,,,,,,,,,,,
2025-11-19,,,,,,,,,,,,,
2025-11-19,,,,,,,,,,,,,
2025-11-18,,,,,,,,,,,,,
2025-11-16,,,,,,,,,,,,,
2025-11-15,,,,,,,,,,,,,
2025-11-14,,,,,,,,,,,,,
2025-11-13,,,,,,,,,,,,,
2025-11-12,,,,,,,,,,,,,
2025-11-11,,,,,,,,,,,,,
2025-11-09,,,,,,,,,,,,,
2025-11-06,,,,,,,,,,,,,
2025-11-06,,,,,,,,,,,,,
2025-11-05,,,,,,,,,,,,,
2025-11-05,,,,,,,,,,,,,
2025-11-02,,,,,,,,,,,,,
2025-11-01,,,,,,,,,,,,,
